Date,Open,High,Low,Close,Adj Close,Volume
2019-05-22,285.450012,286.690002,285.100006,285.630005,281.556610,49482500
2019-05-23,283.160004,283.209991,280.570007,282.140015,278.116394,98733800
2019-05-24,283.739990,284.200012,282.089996,282.779999,278.747284,55268100
2019-05-28,283.089996,284.149994,280.130005,280.149994,276.154755,70029400
2019-05-29,278.910004,279.359985,276.709991,278.269989,274.301575,104972900
2019-05-30,279.109985,280.040009,277.809998,279.029999,275.050751,62523800
2019-05-31,276.200012,277.119995,275.239990,275.269989,271.344330,86862800
2019-06-03,275.309998,276.549988,273.089996,274.570007,270.654327,96428000
2019-06-04,277.119995,280.679993,276.619995,280.529999,276.529358,77231900
2019-06-05,282.329987,282.989990,280.320007,282.959991,278.924683,71169700
2019-06-06,283.290009,285.549988,282.570007,284.799988,280.738434,69430400
2019-06-07,285.929993,288.850006,285.739990,287.649994,283.547791,74272200
2019-06-10,289.369995,290.820007,288.869995,288.970001,284.848999,60799100
2019-06-11,290.989990,291.399994,288.179993,288.899994,284.779999,58641300
2019-06-12,288.640015,289.260010,287.820007,288.390015,284.277283,46984700
2019-06-13,289.399994,289.980011,288.619995,289.579987,285.450256,48945200
2019-06-14,289.260010,289.929993,288.410004,289.260010,285.134857,52324700
2019-06-17,289.519989,290.220001,289.179993,289.369995,285.243256,39205700
2019-06-18,291.390015,293.570007,290.989990,292.399994,288.230072,85434800
2019-06-19,292.549988,293.649994,291.470001,293.059998,288.880646,78674400
2019-06-20,296.040009,296.309998,293.130005,295.859985,291.640717,116570000
2019-06-21,294.130005,295.519989,293.760010,294.000000,291.216797,83309500
2019-06-24,294.230011,294.579987,293.470001,293.640015,290.860199,47582700
2019-06-25,293.700012,293.730011,290.640015,290.760010,288.007477,82028700
2019-06-26,291.750000,292.309998,290.350006,290.470001,287.720184,51584900
2019-06-27,291.309998,292.059998,290.890015,291.500000,288.740448,40355200
2019-06-28,292.579987,293.549988,292.010010,293.000000,290.226227,59350900
2019-07-01,296.679993,296.920013,294.329987,295.660004,292.861084,79107500
2019-07-02,295.609985,296.489990,294.679993,296.429993,293.623779,61504500
2019-07-03,297.179993,298.820007,297.019989,298.799988,295.971344,40898900
2019-07-05,297.440002,298.640015,296.010010,298.459991,295.634552,51677300
2019-07-08,297.010010,298.260010,296.220001,296.820007,294.010101,45841800
2019-07-09,295.540009,297.519989,295.480011,297.190002,294.376587,41101300
2019-07-10,298.369995,299.660004,297.779999,298.609985,295.783112,58448500
2019-07-11,299.320007,299.579987,298.200012,299.309998,296.476501,50826100
2019-07-12,299.850006,300.730011,299.510010,300.649994,297.803802,40326000
